fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Othmar KARAS,4246,Austria,European People's Party,None,Österreichische Volkspartei,2009-2014,07-2009,male,centre-right,3 terms
Ska KELLER,96734,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,3 terms
Seán KELLY,96668,Ireland,European People's Party,None,Fine Gael Party,2009-2014,07-2009,male,centre-right,3 terms
Ádám KÓSA,96829,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,3 terms
Philippe LAMBERTS,96648,Belgium,Group of the Greens/European Free Alliance,None,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2009-2014,07-2009,male,centre-left,3 terms
Bernd LANGE,1909,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,3 terms
Esther de LANGE,38398,Netherlands,European People's Party,None,Christen Democratisch Appèl,2009-2014,07-2009,female,centre-right,3 terms
Ryszard Antoni LEGUTKO,96796,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,3 terms
Janusz LEWANDOWSKI,23781,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,3 terms
Bogusław LIBERADZKI,23768,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2009-2014,07-2009,male,centre-left,3 terms
Peter LIESE,1927,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Juan Fernando LÓPEZ AGUILAR,96812,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,male,centre-left,3 terms
Antonio LÓPEZ-ISTÚRIZ WHITE,28399,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,3 terms
Elżbieta Katarzyna ŁUKACIJEWSKA,96791,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,3 terms
Marisa MATIAS,96820,Portugal,Confederal Group of the European United Left,None,Bloco de Esquerda,2009-2014,07-2009,female,left,3 terms
Gabriel MATO,96936,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,3 terms
Nuno MELO,96978,Portugal,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,3 terms
Francisco José MILLÁN MON,28400,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,3 terms
Angelika NIEBLER,4289,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,3 terms
Jan OLBRYCHT,28288,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,3 terms
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,3 terms
Markus PIEPER,28224,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Sirpa PIETIKÄINEN,40599,Finland,European People's Party,None,Kansallinen Kokoomus,2009-2014,07-2009,female,centre-right,3 terms
Tomasz Piotr PORĘBA,96801,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,3 terms
Paulo RANGEL,96903,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,3 terms
Evelyn REGNER,96998,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2009-2014,07-2009,female,centre-left,3 terms
Frédérique RIES,4253,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Réformateur,2009-2014,07-2009,female,centre,3 terms
Dominique RIQUET,96885,France,European People's Party,None,Union pour un Mouvement Populaire - Parti Radical,2009-2014,07-2009,male,centre-right,3 terms
Michèle RIVASI,96743,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,3 terms
Jacek SARYUSZ-WOLSKI,28297,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,3 terms
Christel SCHALDEMOSE,37312,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2009-2014,07-2009,female,centre-left,3 terms
Helmut SCHOLZ,96646,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,male,left,3 terms
Andreas SCHWAB,28223,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Birgit SIPPEL,96932,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,3 terms
Marc TARABELLA,29579,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti Socialiste,2009-2014,07-2009,male,centre-left,3 terms
Róża THUN UND HOHENSTEIN,96776,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,3 terms
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,3 terms
Waldemar TOMASZEWSKI,96697,Lithuania,European Conservatives and Reformists Group,None,Lietuvos lenkų rinkimų akcija,2009-2014,07-2009,male,right,3 terms
Viktor USPASKICH,96698,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,None,Darbo partija,2009-2014,07-2009,male,centre,3 terms
Kathleen VAN BREMPT,5729,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialistische Partij.Anders,2009-2014,07-2009,female,centre-left,3 terms
Sabine VERHEYEN,96756,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,3 terms
Guy VERHOFSTADT,97058,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Open Vlaamse Liberalen en Democraten,2009-2014,07-2009,male,centre,3 terms
Axel VOSS,96761,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Manfred WEBER,28229,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,3 terms
Rainer WIELAND,2323,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Iuliu WINKLER,39725,Romania,European People's Party,None,Uniunea Democrată Maghiară din România,2009-2014,07-2009,male,centre-right,3 terms
Jan ZAHRADIL,23712,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,3 terms
Tatjana ŽDANOKA,28619,Latvia,Group of the Greens/European Free Alliance,None,Par cilvēka tiesībām vienotā Latvijā,2009-2014,07-2009,female,centre-left,3 terms
Roberts ZĪLE,28615,Latvia,European Conservatives and Reformists Group,None,Tēvzemei un Brīvībai/LNNK,2009-2014,07-2009,male,right,3 terms
Milan ZVER,96933,Slovenia,European People's Party,None,Slovenska demokratska stranka,2009-2014,07-2009,male,centre-right,3 terms
Marian-Jean MARINESCU,33982,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,3 terms
Evžen TOŠENOVSKÝ,96713,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,3 terms
