,fullName,country,politicalGroup,id,nationalPoliticalGroup
30,Anna-Michelle ASIMAKOPOULOU,Greece,Group of the European People's Party (Christian Democrats),197695,Nea Demokratia
31,Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise
32,Margrete AUKEN,Denmark,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti
33,Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,124766,Lietuvos Respublikos liberalų sąjūdis
34,Carmen AVRAM,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,Partidul Social Democrat
35,Malik AZMANI,Netherlands,Renew Europe Group,197781,Volkspartij voor Vrijheid en Democratie
36,Simona BALDASSARRE,Italy,Identity and Democracy Group,197789,Lega
37,Marek Paweł BALT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,Nowa Lewica
38,Jordan BARDELLA,France,Identity and Democracy Group,131580,Rassemblement national
39,Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands
40,Pietro BARTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico
41,Traian BĂSESCU,Romania,Group of the European People's Party (Christian Democrats),197671,Partidul Mișcarea Populară
42,Alessandra BASSO,Italy,Identity and Democracy Group,197610,Lega
43,José Ramón BAUZÁ DÍAZ,Spain,Renew Europe Group,197779,Ciudadanos – Partido de la Ciudadanía
44,Nicolas BAY,France,Non-attached Members,124760,Reconquête!
45,Gunnar BECK,Germany,Identity and Democracy Group,132191,Alternative für Deutschland
46,Nicola BEER,Germany,Renew Europe Group,197437,Freie Demokratische Partei
47,Tiziana BEGHIN,Italy,Non-attached Members,124777,Movimento 5 Stelle
48,Aurélia BEIGNEUX,France,Identity and Democracy Group,197680,Rassemblement national
49,Marek BELKA,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,Nowa Lewica
50,François-Xavier BELLAMY,France,Group of the European People's Party (Christian Democrats),197534,Les Républicains
51,Adrian-Dragoş BENEA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,Partidul Social Democrat
