fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Bárbara DÜHRKOP DÜHRKOP,1313,Spain,Socialist Group,None,1989-1994,Partido Socialista Obrero Español ,07-1989,female
Raymonde M.E.A. DURY,1439,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Maurice DUVERGER,1015,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
James ELLES,1419,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Michael N. ELLIOTT,1420,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Vassilis EPHREMIDIS,955,Greece,Left Unity,None,1989-1994,Synaspismos tis Aristeras kai tis Proodou ,07-1989,male
Brigitte U.J.M.J.G. ERNST de la GRAETE,1250,Belgium,The Green Group in the European Parliament,None,1989-1994,Ecologistes confédérés pour l'organisation de luttes originales - Verts européens pour des régions transfrontalières et solidaires ,07-1989,female
Arturo Juan ESCUDER CROFT,1350,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
José Antonio ESCUDERO,961,Spain,Liberal and Democratic Reformist Group,Group of the European People's Party (Christian,1989-1994,Centro Democràtico y Social ,11-1989,male
Nicolas ESTGEN,987,Luxembourg,Group of the European People's Party (Christian,None,1989-1994,Parti chrétien social ,07-1989,male
Winifred M. EWING,1369,United Kingdom,Rainbow Group in the European Parliament,None,1989-1994,Scottish National Party ,07-1989,female
Laurent FABIUS,1029,France,Socialist Group,None,1989-1994,Parti socialiste ,07-1989,male
Alexander C. FALCONER,1412,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Enrico FALQUI,1132,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Europa ,07-1989,male
Antonio FANTINI,1117,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Giulio FANTUZZI,1109,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Gipo FARASSINO,2039,Italy,Non-attached Members,None,1989-1994,Lega lombarda ,05-1994,male
Ben FAYOT,1154,Luxembourg,Socialist Group,None,1989-1994,Parti ouvrier socialiste luxembourgeois ,07-1989,male
Gerardo FERNÁNDEZ-ALBOR,1148,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Solange FERNEX,1182,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,female
Giuliano FERRARA,989,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Enrico FERRI,990,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista democratico italiano ,07-1989,male
Gianfranco FINI,1007,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,07-1989,male
Gene FITZGERALD,1442,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
James (Jim) FITZSIMONS,1443,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
Colette FLESCH,1184,Luxembourg,Liberal and Democratic Reformist Group,None,1989-1994,Parti démocratique ,07-1989,female
Karl-Heinz FLORENZ,1038,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Nicole FONTAINE,945,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,07-1989,female
Glyn FORD,1413,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Arnaldo FORLANI,1008,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Roberto FORMIGONI,1110,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Mario FORTE,1111,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
André FOURÇANS,1692,France,Group of the European People's Party (Christian,None,1989-1994,Union pour la démocratie française ,03-1993,male
Yves FRÉMION,1831,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,male
Ingo FRIEDRICH,1264,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Bernard FRIMAT,1865,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,04-1992,male
François FROMENT-MEURICE,1872,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,09-1992,male
Gérard R.P. FUCHS,967,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Honor FUNK,1039,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Gerardo GAIBISSO,1009,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Yves A.R. GALLAND,1084,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti radical ,07-1989,male
Marc GALLE,1291,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialistische Partij ,07-1989,male
Giulio Cesare GALLENZI,1112,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Max GALLO,1203,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Juan Antonio GANGOITI LLAGUNO,1228,Spain,Non-attached Members,Group of the European People's Party (Christian,1989-1994,Coalición Nacionalista ,07-1989,male
Juan Carlos GARAIKOETXEA URRIZA,1342,Spain,Rainbow Group in the European Parliament,None,1989-1994,Eusko Alkartasuna ,07-1989,male
Vasco GARCIA,1374,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Manuel GARCÍA AMIGO,1343,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Ludivina GARCÍA ARIAS,1305,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,female
Charles de GAULLE,1878,France,Liberal and Democratic Reformist Group,None,1989-1994,Union pour la démocratie française - adhérent direct ,04-1993,male
Jas GAWRONSKI,1113,Italy,Liberal and Democratic Reformist Group,None,1989-1994,Polo laico ,07-1989,male
Des GERAGHTY,1841,Ireland,Group for the European United Left,None,1989-1994,Workers' Party ,02-1992,male
