fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,4344,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,female
Sándor RÓNAI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197584,Demokratikus Koalíció,2019-2024,None,07-2019,male
Daniela RONDINELLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197792,Partito Democratico,2019-2024,None,07-2019,female
Rob ROOKEN,Netherlands,European Conservatives and Reformists Group,197776,JA21,2019-2024,None,07-2019,male
Dorien ROOKMAKER,Netherlands,European Conservatives and Reformists Group,204733,Meer Directe Democratie,2019-2024,None,07-2019,female
Robert ROOS,Netherlands,European Conservatives and Reformists Group,197709,JA21,2019-2024,None,07-2019,male
Caroline ROOSE,France,Group of the Greens/European Free Alliance,197506,Europe Écologie,2019-2024,None,07-2019,female
Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos valstiečių ir žaliųjų sąjunga,2019-2024,None,07-2019,male
Marcos ROS SEMPERE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204413,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
André ROUGÉ,France,Identity and Democracy Group,197690,Rassemblement national,2019-2024,None,07-2019,male
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,197773,Staatkundig Gereformeerde Partij,2019-2024,None,07-2019,male
Domènec RUIZ DEVESA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,127096,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,197545,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Christian SAGARTZ,Austria,Group of the European People's Party (Christian Democrats),204368,Österreichische Volkspartei,2019-2024,None,07-2019,male
Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia,2019-2024,None,07-2019,male
Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains,2019-2024,None,07-2019,female
